                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     25,                 2.1325,                 2.8841,                  2.484,                 2.2195,                0.04496,                   0.25,                0.03813,                0.01077,                0.07579,                  0.125,                0.07118,                0.02051,                 3.0257,                 18.381,                 3.9604,                  3.514,              0.0015446,              0.0015446,              0.0015446
                     26,                 2.1741,                 2.8517,                 2.5084,                 2.1959,                0.07749,                   0.25,                0.03305,                0.01822,                0.07749,                   0.25,                0.02899,                0.00958,                 3.0655,                 5.8102,                  5.028,                 4.2781,              0.0015248,              0.0015248,              0.0015248
                     27,                 2.0651,                  2.739,                 2.3013,                 2.1534,                0.00621,                   0.25,                0.00406,                0.00239,                 0.0031,                  0.125,                0.00189,                0.00053,                 2.7178,                 7.7739,                 122.47,                 3.5494,               0.001505,               0.001505,               0.001505
                     28,                 2.0529,                 3.0326,                 2.2847,                 2.1209,                0.00624,                   0.25,                0.00373,                0.00204,                0.00624,                   0.25,                0.00262,                0.00093,                 2.6741,                  8.032,                 51.527,                 3.6515,              0.0014852,              0.0014852,              0.0014852
                     29,                 1.9906,                 2.8467,                 2.2087,                 2.1346,                0.01336,                  0.125,                0.00429,                0.00261,                0.01336,                  0.125,                 0.0049,                0.00102,                 2.7765,                  5.095,                 13.629,                 3.5227,              0.0014654,              0.0014654,              0.0014654
                     30,                 2.1601,                 2.9661,                 2.3718,                 2.1596,                 0.0823,                   0.25,                0.04803,                0.02022,                0.16443,                   0.25,                0.05381,                0.01178,                 2.5611,                 4.9269,                  4.753,                 2.8476,              0.0014456,              0.0014456,              0.0014456
                     31,                 1.9268,                 2.7813,                 2.1812,                 2.0658,                0.18401,                   0.25,                0.08389,                0.03609,                0.18401,                   0.25,                0.07214,                0.02943,                 2.4188,                  4.476,                 4.9106,                 3.1547,              0.0014258,              0.0014258,              0.0014258
                     32,                 1.9287,                 2.8066,                 2.2984,                 2.0732,                0.10225,                   0.25,                0.06859,                0.01423,                0.10225,                   0.25,                0.05288,                0.01442,                 2.8793,                 4.8716,                 3.5339,                 3.2801,               0.001406,               0.001406,               0.001406
                     33,                 1.9165,                 2.6982,                 2.1242,                  1.989,                0.27798,                  0.125,                0.07414,                0.02628,                0.27798,                  0.125,                0.08509,                0.02181,                 2.8004,                 5.5451,                 3.9089,                 3.2503,              0.0013862,              0.0013862,              0.0013862
                     34,                 1.9841,                 2.9884,                 2.2019,                 2.0508,                0.13505,                  0.125,                 0.0609,                 0.0289,                0.13505,                  0.125,                0.05989,                0.02559,                   2.95,                 4.6376,                 5.3663,                 3.0744,              0.0013664,              0.0013664,              0.0013664
                     35,                 1.8965,                 2.9736,                 2.1386,                    2.1,                0.13631,                  0.375,                 0.1095,                0.03704,                0.13516,                   0.25,                0.08953,                0.03266,                 2.7204,                 4.4303,                 3.8674,                 2.9923,              0.0013466,              0.0013466,              0.0013466
                     36,                 1.9631,                 2.7547,                 2.1238,                  1.971,                0.15208,                0.35947,                0.11433,                0.06566,                0.34058,                  0.375,                0.21873,                0.06085,                 2.2286,                 4.0794,                 3.6322,                 2.7201,              0.0013268,              0.0013268,              0.0013268
                     37,                 1.9222,                  2.676,                 2.0613,                 1.9588,                0.39466,                  0.125,                0.12414,                0.06485,                0.19708,                   0.25,                0.14027,                0.05671,                 2.2599,                 3.9489,                 3.2857,                 2.6046,               0.001307,               0.001307,               0.001307
                     38,                 1.8989,                 2.8081,                 2.1153,                 2.1109,                0.18303,                0.36468,                0.11501,                0.04781,                0.44815,                   0.25,                0.20517,                0.06093,                 2.4917,                 3.5683,                 2.9781,                 2.6965,              0.0012872,              0.0012872,              0.0012872
                     39,                  1.931,                  2.871,                 2.1514,                 2.0339,                 0.2809,                  0.125,                0.06831,                0.03266,                0.13007,                  0.125,                 0.0817,                0.03576,                 2.7373,                 3.2981,                 3.5145,                 2.8938,              0.0012674,              0.0012674,              0.0012674
                     40,                 1.9435,                 2.7586,                 1.9783,                 2.0409,                0.30371,                  0.125,                0.07077,                0.02913,                0.30371,                  0.125,                0.07241,                0.04482,                 2.6431,                 3.2283,                 3.5021,                 2.7513,              0.0012476,              0.0012476,              0.0012476
                     41,                 1.9628,                 2.7924,                 1.9879,                 2.0406,                0.46714,                  0.125,                0.14227,                0.08186,                0.46714,                  0.125,                0.15125,                0.09586,                  2.633,                 3.2846,                 3.5796,                  2.755,              0.0012278,              0.0012278,              0.0012278
                     42,                 1.8574,                 2.7522,                 1.9997,                 1.9312,                0.18601,                  0.375,                 0.1262,                0.06332,                0.16381,                   0.25,                0.13158,                0.07209,                 2.5333,                 3.0945,                 3.3468,                 2.7369,               0.001208,               0.001208,               0.001208
                     43,                 1.9567,                 2.7798,                 2.0045,                 2.0453,                0.85425,                  0.125,                0.21593,                0.13756,                0.25022,                  0.375,                0.24942,                0.13347,                 2.5938,                 3.0292,                 2.7999,                  2.846,              0.0011882,              0.0011882,              0.0011882
                     44,                 1.8621,                 2.7851,                 1.9651,                  2.002,                0.49603,                  0.125,                0.21992,                 0.1043,                0.30891,                    0.5,                0.29555,                0.14413,                 2.8693,                 3.0314,                 2.8978,                 3.0579,              0.0011684,              0.0011684,              0.0011684
                     45,                 1.8562,                 2.5609,                 1.8633,                 1.9153,                 0.4299,                  0.125,                0.17154,                0.09899,                0.16287,                   0.25,                0.21756,                0.13811,                 2.9762,                 2.9647,                 2.9245,                 3.2579,              0.0011486,              0.0011486,              0.0011486
                     46,                 1.8008,                 2.6644,                 1.8664,                 1.9093,                0.39776,                  0.125,                0.16601,                0.10698,                0.39776,                  0.125,                0.15225,                0.10881,                 2.6265,                 3.2752,                 3.0658,                 2.9351,              0.0011288,              0.0011288,              0.0011288
                     47,                 1.7377,                  2.542,                 1.8689,                 1.9255,                0.14207,                  0.375,                0.11845,                0.05236,                0.12946,                   0.25,                0.09397,                0.04653,                 2.5056,                 3.3793,                 2.8261,                 2.7992,               0.001109,               0.001109,               0.001109
                     48,                 1.7517,                 2.4933,                 1.9621,                 1.8775,                0.19546,                    0.5,                0.11956,                0.04117,                0.13191,                   0.25,                0.09878,                0.03863,                 2.2859,                 3.5429,                 2.6213,                 2.6286,              0.0010892,              0.0010892,              0.0010892
                     49,                 1.8627,                 2.5722,                 1.8352,                 2.0643,                0.19197,                0.32885,                0.16826,                0.08004,                0.20681,                   0.25,                0.16267,                0.07517,                 2.4387,                 3.3067,                 2.5519,                 2.6997,              0.0010694,              0.0010694,              0.0010694
                     50,                 1.7876,                 2.6065,                 1.8289,                 1.9548,                0.12916,                0.40883,                0.18872,                0.07887,                0.21384,                  0.375,                0.19267,                0.08765,                 2.6581,                 3.3175,                 2.3461,                 2.8745,              0.0010496,              0.0010496,              0.0010496
                     51,                 1.6206,                 2.3966,                 1.8461,                  1.824,                0.15101,                   0.25,                0.16623,                0.07314,                 0.3316,                  0.375,                0.24346,                0.09883,                  2.762,                 3.5475,                 2.3457,                 3.0212,              0.0010298,              0.0010298,              0.0010298
                     52,                 1.6854,                 2.4652,                 1.7984,                 1.8422,                0.29467,                   0.25,                0.17006,                0.07446,                0.48378,                  0.375,                0.23914,                 0.1037,                 2.6655,                 3.6632,                 2.5034,                 2.9739,                0.00101,                0.00101,                0.00101
                     53,                 1.7122,                 2.5379,                 1.8386,                 1.8856,                 0.1891,                  0.375,                0.20809,                0.12896,                0.33578,                   0.25,                0.28835,                0.15333,                 2.4559,                 3.8476,                 2.6536,                 2.9322,              0.0009902,              0.0009902,              0.0009902
                     54,                 1.7396,                 2.4477,                 1.8272,                 1.9796,                0.62173,                   0.25,                0.31737,                0.13883,                0.62173,                   0.25,                0.30625,                0.16842,                 2.5564,                  3.809,                 2.9092,                 2.9888,              0.0009704,              0.0009704,              0.0009704
                     55,                 1.8526,                 2.5516,                 1.9918,                   1.91,                0.60439,                   0.25,                0.25758,                 0.0928,                0.31753,                    0.5,                0.30398,                0.11535,                 2.4186,                 3.3552,                 3.0339,                 2.7265,              0.0009506,              0.0009506,              0.0009506
                     56,                 1.7448,                 2.5021,                 1.7625,                 1.8429,                0.30337,                  0.375,                0.30962,                0.08803,                0.30337,                  0.375,                0.31123,                0.12784,                 2.3707,                 3.1515,                 2.9997,                 2.6799,              0.0009308,              0.0009308,              0.0009308
                     57,                 1.7508,                 2.4795,                 1.7533,                 1.9166,                0.49344,                   0.25,                0.26129,                0.08787,                0.49344,                   0.25,                0.25692,                0.11877,                 2.3168,                 3.1017,                 2.6429,                 2.6107,               0.000911,               0.000911,               0.000911
                     58,                 1.7407,                 2.4174,                 1.7232,                 1.9477,                0.28678,                    0.5,                0.29797,                 0.1142,                0.28678,                    0.5,                0.30003,                0.15422,                 2.1488,                 2.9879,                 2.7128,                 2.4679,              0.0008912,              0.0008912,              0.0008912
                     59,                 1.6556,                 2.4606,                 1.6377,                 1.7326,                0.28812,                  0.625,                0.26237,                  0.125,                0.32063,                 0.5327,                0.27933,                0.13314,                 2.0623,                 2.9053,                 2.4123,                 2.4849,              0.0008714,              0.0008714,              0.0008714
                     60,                 1.6621,                 2.4494,                 1.6671,                 1.8091,                0.24922,                  0.625,                 0.2315,                0.11443,                0.24922,                  0.625,                 0.2315,                0.11187,                 1.9827,                 2.7719,                 2.7161,                 2.3529,              0.0008516,              0.0008516,              0.0008516
                     61,                 1.6223,                 2.4459,                 1.6005,                 1.7521,                0.24704,                  0.625,                0.23431,                0.09754,                0.23222,                  0.625,                  0.229,                0.10106,                 2.1475,                 2.6864,                 2.6614,                  2.327,              0.0008318,              0.0008318,              0.0008318
                     62,                 1.6994,                 2.6968,                 1.8592,                 1.8849,                0.28392,                  0.375,                0.21651,                0.10579,                 0.2607,                  0.375,                0.22551,                0.11111,                 2.2775,                 2.9137,                 2.3583,                 2.4838,               0.000812,               0.000812,               0.000812
                     63,                 1.7882,                 2.4427,                 1.7957,                 1.9681,                 0.2798,                    0.5,                0.21591,                0.08777,                0.32201,                    0.5,                0.25056,                0.12073,                 2.5643,                 2.8942,                 2.3989,                 2.7588,              0.0007922,              0.0007922,              0.0007922
                     64,                   1.63,                 2.3865,                 1.6798,                  1.768,                0.25881,                  0.375,                0.20962,                0.08094,                0.25881,                  0.375,                0.22093,                0.11332,                 2.4434,                 2.9061,                  2.576,                 2.8091,              0.0007724,              0.0007724,              0.0007724
                     65,                 1.5872,                 2.3471,                 1.7165,                 1.7845,                0.24876,                  0.375,                0.14462,                0.06803,                0.24876,                  0.375,                0.18053,                0.08626,                 2.3714,                 2.9062,                 2.7273,                 2.6552,              0.0007526,              0.0007526,              0.0007526
                     66,                 1.6428,                  2.515,                 1.6166,                 1.7707,                0.23967,                  0.375,                0.20367,                0.08333,                0.33693,                    0.5,                0.27836,                0.12643,                 2.2106,                 2.5956,                 2.4789,                  2.472,              0.0007328,              0.0007328,              0.0007328
                     67,                 1.5928,                 2.4583,                 1.5588,                 1.8048,                0.41981,                    0.5,                0.29611,                0.11125,                0.41981,                    0.5,                0.30382,                0.14918,                 2.2315,                 2.6264,                 2.7604,                 2.6591,               0.000713,               0.000713,               0.000713
                     68,                 1.5615,                 2.2991,                 1.6535,                  1.877,                0.31949,                    0.5,                0.33967,                0.15106,                0.39936,                  0.625,                0.38107,                0.19686,                 2.2874,                 2.6826,                 2.7563,                 2.7228,              0.0006932,              0.0006932,              0.0006932
                     69,                 1.5728,                 2.3032,                  1.605,                 1.7466,                0.44194,                0.49549,                0.35451,                0.14817,                0.44185,                  0.625,                0.41801,                0.19192,                 2.3632,                 2.7619,                 3.0173,                 2.7156,              0.0006734,              0.0006734,              0.0006734
                     70,                 1.6362,                 2.3636,                 1.5972,                 1.7847,                0.38907,                  0.375,                 0.2289,                0.07613,                0.37784,                    0.5,                0.29951,                0.10272,                 2.4283,                 3.0468,                 3.0349,                 2.8193,              0.0006536,              0.0006536,              0.0006536
                     71,                 1.5532,                 2.3723,                 1.5048,                 1.7155,                0.32386,                  0.375,                0.24565,                0.07469,                0.37972,                    0.5,                0.30533,                0.08765,                 2.3693,                 3.0914,                 2.9875,                 2.8323,              0.0006338,              0.0006338,              0.0006338
                     72,                 1.6097,                 2.4457,                 1.6366,                 1.7219,                0.31498,                  0.375,                0.22424,                0.07566,                0.31498,                  0.375,                0.22424,                0.08202,                 2.3999,                 3.1028,                 2.8608,                 2.7679,               0.000614,               0.000614,               0.000614
                     73,                 1.6626,                 2.3351,                  1.568,                  1.812,                0.36319,                  0.375,                0.23963,                0.09786,                0.36319,                  0.375,                0.23963,                0.09902,                 2.3574,                 3.2098,                 2.7741,                 2.7561,              0.0005942,              0.0005942,              0.0005942
                     74,                 1.6679,                 2.4193,                 1.6493,                 1.8829,                0.22808,                  0.625,                 0.3028,                0.15383,                0.22808,                  0.625,                0.29321,                0.15169,                 2.3667,                 3.1615,                 2.3782,                 2.6541,              0.0005744,              0.0005744,              0.0005744
                     75,                 1.4935,                 2.2505,                  1.457,                 1.6675,                0.27916,                  0.625,                0.36571,                0.14822,                0.19445,                    0.5,                0.27901,                 0.1438,                 2.2046,                 3.0604,                 2.4442,                 2.6135,              0.0005546,              0.0005546,              0.0005546
                     76,                 1.5428,                 2.1866,                  1.443,                 1.7952,                0.25505,                   0.75,                0.34868,                0.17569,                0.29756,                  0.875,                0.37453,                0.16263,                 2.1765,                 2.8673,                 2.3179,                  2.568,              0.0005348,              0.0005348,              0.0005348
                     77,                 1.6007,                  2.371,                 1.5556,                 1.7823,                0.26925,                   0.75,                 0.3454,                0.17756,                0.30864,                0.83825,                0.37449,                0.16735,                 2.2157,                 2.8198,                 2.4728,                 2.6166,               0.000515,               0.000515,               0.000515
                     78,                 1.5207,                 2.3903,                 1.6491,                 1.7324,                0.26352,                   0.75,                0.37022,                 0.1894,                0.32379,                0.83921,                0.40084,                0.18108,                 2.1327,                 2.8393,                 2.4719,                 2.5997,              0.0004952,              0.0004952,              0.0004952
                     79,                 1.4812,                 2.3162,                 1.5252,                 1.7154,                0.26856,                    0.5,                0.37267,                0.18362,                0.29461,                   0.75,                0.40462,                0.19659,                 2.1682,                 2.8406,                 2.4234,                 2.6113,              0.0004754,              0.0004754,              0.0004754
                     80,                  1.545,                 2.3311,                 1.5607,                 1.7516,                0.36162,                  0.625,                 0.4516,                0.17494,                0.32687,                  0.625,                0.45411,                0.19423,                 2.2291,                  2.861,                  2.434,                 2.6976,              0.0004556,              0.0004556,              0.0004556
                     81,                 1.6163,                 2.2971,                 1.5339,                 1.6951,                 0.2417,                    0.5,                0.28772,                0.16239,                0.30321,                    0.5,                0.44797,                0.19418,                 2.1991,                 2.7957,                 2.3968,                 2.6425,              0.0004358,              0.0004358,              0.0004358
                     82,                 1.3283,                 2.0103,                 1.3736,                 1.5106,                0.34434,                  0.625,                0.49305,                0.21613,                0.34434,                  0.625,                0.47253,                0.22908,                 2.1149,                 2.7066,                 2.3297,                 2.4911,               0.000416,               0.000416,               0.000416
                     83,                 1.4149,                 2.3084,                 1.4862,                 1.5851,                0.45073,                    0.5,                0.47511,                0.23606,                0.45073,                    0.5,                0.45826,                0.24408,                 2.0316,                 2.6545,                 2.1946,                 2.4181,              0.0003962,              0.0003962,              0.0003962
                     84,                 1.5228,                 2.3132,                 1.5806,                 1.7506,                0.47254,                    0.5,                0.44761,                0.25576,                0.47254,                    0.5,                0.42406,                0.24544,                 1.9606,                 2.5665,                 2.0935,                 2.3554,              0.0003764,              0.0003764,              0.0003764
                     85,                  1.412,                 2.1408,                 1.3238,                 1.5849,                0.43646,                    0.5,                  0.436,                0.25587,                0.43646,                    0.5,                0.43371,                0.25274,                 1.9553,                 2.5364,                 2.1095,                 2.3519,              0.0003566,              0.0003566,              0.0003566
